RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  2820070    M =  10

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
  102  175     0     0  con    1  1.9E-01  1.3E+01  3.960E-01  1.650E+02
  103  177     0     0  con    1  3.0E-01  1.9E+01  5.248E-02  1.620E+02
  104  178     0     0  con    0  1.0E+00  1.5E+01  2.681E-01  1.577E+02
  105  179     0     0  con    0  1.0E+00  5.7E+01  2.695E-01  1.566E+02
  106  180     0     0  con    0  1.0E+00  1.2E+01  7.573E-02  1.525E+02
  107  181     0     0  con    0  1.0E+00  2.1E+01  7.988E-02  1.518E+02
  108  182     0     0  con    0  1.0E+00  1.2E+01  4.251E-02  1.504E+02
  109  183     0     0  con    0  1.0E+00  1.2E+01  2.099E-01  1.489E+02
  110  187     0     0  con    3  2.7E-03  1.9E+00  3.109E-01  1.488E+02
  111  188     0     0  con    0  1.0E+00  4.3E+00  4.547E-02  1.481E+02
  112  189     0     0  con    0  1.0E+00  2.6E+00  5.513E-02  1.471E+02
  113  190     0     0  con    0  1.0E+00  1.6E+01  4.877E-02  1.421E+02
  114  192     0     0  con    1  3.0E-01  1.6E+01  5.874E-02  1.398E+02
  115  194     0     0  con    1  5.0E-01  1.6E+01  4.587E-02  1.371E+02
  116  196     0     0  con    1  5.1E-01  2.0E+01  5.481E-02  1.346E+02
  117  197     0     0  con    0  1.0E+00  3.6E+01  6.913E-02  1.330E+02
  118  199     0     0  con    1  2.6E-01  8.2E+00  2.951E-01  1.329E+02
  119  200     0     0  con    0  1.0E+00  4.0E+00  2.584E-01  1.316E+02
  120  201     0     0  con    0  1.0E+00  2.7E+01  2.325E-01  1.310E+02

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 2.221E+02 seconds.

  1.0E+00  4.2E-01  9.912E-03  1.324E+01
  123  125     0     0  con    0  1.0E+00  2.5E-01  8.137E-03  1.322E+01
  124  126     0     0  con    0  1.0E+00  3.0E-01  8.763E-03  1.321E+01
  125  127     0     0  con    0  1.0E+00  9.5E-01  2.151E-02  1.319E+01
  126  128     0     0  con    0  1.0E+00  1.0E+00  1.716E-02  1.316E+01
  127  129     0     0  con    0  1.0E+00  1.2E+00  1.201E-02  1.313E+01
  128  130     0     0  con    0  1.0E+00  1.0E+00  2.025E-02  1.312E+01
  129  131     0     0  con    0  1.0E+00  3.5E-01  1.154E-02  1.311E+01
  130  132     0     0  con    0  1.0E+00  4.9E-01  1.839E-02  1.309E+01
  131  133     0     0  con    0  1.0E+00  1.2E+00  1.792E-02  1.308E+01
  132  134     0     0  con    0  1.0E+00  1.4E+00  3.368E-02  1.307E+01
  133  135     0     0  con    0  1.0E+00  5.3E-01  1.598E-02  1.305E+01
  134  136     0     0  con    0  1.0E+00  5.4E-01  7.147E-03  1.304E+01
  135  137     0     0  con    0  1.0E+00  6.0E-01  1.176E-02  1.302E+01
  136  138     0     0  con    0  1.0E+00  9.6E-01  2.689E-02  1.301E+01
  137  139     0     0  con    0  1.0E+00  7.4E-01  1.563E-02  1.298E+01
  138  140     0     0  con    0  1.0E+00  1.3E+00  1.201E-02  1.294E+01
  139  141     0     0  con    0  1.0E+00  1.6E+00  6.049E-02  1.294E+01
  140  142     0     0  con    0  1.0E+00  2.8E-01  1.272E-02  1.291E+01
  141  143     0     0  con    0  1.0E+00  1.7E-01  4.945E-03  1.291E+01
  142  144     0     0  con    0  1.0E+00  2.8E-01  8.317E-03  1.290E+01
  143  145     0     0  con    0  1.0E+00  4.7E-01  1.482E-02  1.289E+01
  144  146     0     0  con    0  1.0E+00  1.2E+00  2.765E-02  1.287E+01
  145  147     0     0  con    0  1.0E+00  2.9E+00  4.407E-02  1.286E+01
  146  148     0     0  con    0  1.0E+00  2.8E-01  1.099E-02  1.282E+01
  147  149     0     0  con    0  1.0E+00  5.4E-01  7.076E-03  1.281E+01
  148  150     0     0  con    0  1.0E+00  6.9E-01  1.116E-02  1.280E+01
  149  151     0     0  con    0  1.0E+00  7.7E-01  2.424E-02  1.280E+01
  150  152     0     0  con    0  1.0E+00  4.5E-01  6.134E-03  1.278E+01
  151  153     0     0  con    0  1.0E+00  6.7E-01  1.688E-02  1.276E+01
  152  154     0     0  con    0  1.0E+00  8.2E-01  2.022E-02  1.274E+01
  153  155     0     0  con    0  1.0E+00  1.2E+00  4.357E-02  1.273E+01
  154  156     0     0  con    0  1.0E+00  5.3E-01  1.438E-02  1.272E+01
  155  157     0     0  con    0  1.0E+00  1.8E-01  5.943E-03  1.271E+01
  156  158     0     0  con    0  1.0E+00  1.2E-01  9.107E-03  1.270E+01
  157  159     0     0  con    0  1.0E+00  3.8E-01  1.593E-02  1.270E+01
  158  160     0     0  con    0  1.0E+00  1.2E+00  2.902E-02  1.268E+01
  159  161     0     0  con    0  1.0E+00  2.0E+00  1.796E-02  1.265E+01
  160  163     0     0  con    1  2.2E-01  5.5E-01  3.764E-02  1.265E+01
  161  164     0     0  con    0  1.0E+00  7.6E-01  1.264E-02  1.264E+01
  162  165     0     0  con    0  1.0E+00  1.8E-01  4.470E-03  1.263E+01
  163  166     0     0  con    0  1.0E+00  1.2E-01  1.116E-02  1.263E+01
  164  167     0     0  con    0  1.0E+00  2.6E-01  1.864E-02  1.262E+01
  165  168     0     0  con    0  1.0E+00  7.6E-01  3.139E-02  1.260E+01
  166  169     0     0  con    0  1.0E+00  1.7E+00  2.937E-02  1.258E+01
  167  170     0     0  con    0  1.0E+00  1.4E+00  2.364E-02  1.256E+01
  168  171     0     0  con    0  1.0E+00  1.6E-01  9.399E-03  1.255E+01
  169  172     0     0  con    0  1.0E+00  4.1E-01  9.271E-03  1.254E+01
  170  173     0     0  con    0  1.0E+00  3.5E-01  1.055E-02  1.254E+01
  171  174     0     0  con    0  1.0E+00  1.1E+00  1.398E-02  1.253E+01
  172  175     0     0  con    0  1.0E+00  2.4E+00  4.149E-02  1.252E+01
  173  176     0     0  con    0  1.0E+00  3.3E-01  1.565E-02  1.250E+01
  174  177     0     0  con    0  1.0E+00  3.9E-01  1.163E-02  1.249E+01
  175  178     0     0  con    0  1.0E+00  5.4E-01  1.086E-02  1.247E+01
  176  179     0     0  con    0  1.0E+00  5.5E-01  7.242E-03  1.247E+01
  177  180     0     0  con    0  1.0E+00  1.3E+00  1.706E-02  1.246E+01
  178  181     0     0  con    0  1.0E+00  1.1E+00  1.680E-02  1.244E+01
  179  182     0     0  con    0  1.0E+00  1.3E+00  2.442E-02  1.242E+01
  180  184     0     0  con    1  3.8E-01  5.4E-01  2.141E-02  1.241E+01
  181  185     0     0  con    0  1.0E+00  3.9E-01  7.101E-03  1.240E+01
  182  186     0     0  con    0  1.0E+00  1.6E-01  6.773E-03  1.240E+01
  183  187     0     0  con    0  1.0E+00  3.7E-01  1.180E-02  1.239E+01
  184  188     0     0  con    0  1.0E+00  8.1E-01  1.453E-02  1.238E+01
  185  189     0     0  con    0  1.0E+00  1.8E+00  2.431E-02  1.237E+01
  186  190     0     0  con    0  1.0E+00  5.9E-01  1.607E-02  1.236E+01
  187  191     0     0  con    0  1.0E+00  4.0E-01  8.197E-03  1.235E+01
  188  192     0     0  con    0  1.0E+00  3.7E-01  6.734E-03  1.234E+01
  189  193     0     0  con    0  1.0E+00  5.0E-01  1.008E-02  1.233E+01
  190  194     0     0  con    0  1.0E+00  8.0E-01  1.711E-02  1.233E+01
  191  195     0     0  con    0  1.0E+00  5.3E-01  1.534E-02  1.232E+01
  192  196     0     0  con    0  1.0E+00  1.1E+00  9.679E-03  1.230E+01
  193  197     0     0  con    0  1.0E+00  6.8E-01  2.570E-02  1.230E+01
  194  198     0     0  con    0  1.0E+00  1.9E-01  7.866E-03  1.229E+01
  195  199     0     0  con    0  1.0E+00  8.6E-02  6.944E-03  1.229E+01
  196  200     0     0  con    0  1.0E+00  2.9E-01  1.005E-02  1.228E+01
  197  201     0     0  con    0  1.0E+00  5.5E-01  1.386E-02  1.227E+01

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 9.788E+01 seconds.

